noun,2016_rating_all,2016_std_all,2016_rating_m,2016_std_m,2016_rating_f,2016_std_f,kt_rating.f,kt_sd.f,kt_rating.m,kt_sd.m,kt_rating_all,kt_sd_all
singer,3.72,0.76,3.73,0.69,3.71,0.83,3.75,-0.55,4.0,-0.32,3.88,-0.44
singleparent,2.9,1.15,3.14,1.09,2.64,1.16,2.15,-1.14,1.95,-0.94,2.05,-1.04
skier,4.35,1.0,4.39,1.02,4.31,1.0,4.2,-0.52,4.1,-0.91,4.15,-0.72
smuggler,5.36,1.18,5.2,1.3,5.52,1.02,6.0,-0.79,6.1,-0.97,6.05,-0.88
soapoperafan,2.2,1.34,2.3,1.32,2.1,1.38,1.65,-0.81,1.55,-0.6,1.6,-0.71
socialite,2.17,1.29,2.59,1.3,1.74,1.13,3.35,-1.23,3.75,-0.97,3.55,-1.1
socialmediaconsultant,3.48,1.1,3.73,0.92,3.21,1.22,NA,NA,NA,NA,NA,NA
socialworker,2.9,1.06,3.14,1.09,2.64,0.98,2.7,-0.8,3.45,-0.94,3.08,-0.87
softballplayer,3.48,1.75,3.09,1.54,3.88,1.89,1.5,-0.69,2.85,-1.53,2.17,-1.11
soldier,5.58,1.15,5.5,1.36,5.67,0.9,6.15,-0.88,6.21,-1.03,6.18,-0.96
songwriter,4.08,0.79,4.25,0.72,3.9,0.82,NA,NA,NA,NA,NA,NA
speechwriter,4.67,0.99,4.91,0.96,4.43,0.97,NA,NA,NA,NA,NA,NA
sportscaster,5.5,1.24,5.27,1.35,5.74,1.08,5.65,-0.93,6.35,-0.59,6.0,-0.76
spy,5.05,1.04,5.05,1.1,5.05,0.99,5.35,-1.27,5.55,-1.39,5.45,-1.33
statistician,4.48,1.05,4.64,1.22,4.31,0.81,4.65,-0.93,4.6,-1.19,4.62,-1.06
stayathomeparent,2.71,1.17,2.84,1.18,2.57,1.15,NA,NA,NA,NA,NA,NA
stenographer,2.73,1.38,2.98,1.34,2.48,1.38,4.15,-1.46,4.15,-1.35,4.15,-1.41
stockbroker,5.41,1.04,5.43,1.13,5.38,0.96,5.55,-1.05,5.2,-1.01,5.38,-1.03
