noun,2016_rating_all,2016_std_all,2016_rating_m,2016_std_m,2016_rating_f,2016_std_f,kt_rating.f,kt_sd.f,kt_rating.m,kt_sd.m,kt_rating_all,kt_sd_all
computerprogrammer,4.86,1.04,4.93,1.09,4.79,1.0,5.2,-1.01,4.8,-1.15,5.0,-1.08
computertechnician,4.94,1.06,4.98,1.23,4.9,0.85,5.1,-0.91,5.0,-0.97,5.05,-0.94
concierge,4.51,1.13,4.27,1.09,4.76,1.14,4.26,-0.93,4.55,-0.89,4.4,-0.91
congressman,5.77,1.18,5.57,1.25,5.98,1.09,5.9,-0.97,6.2,-0.89,6.05,-0.93
conservationist,4.26,0.95,4.36,0.99,4.14,0.9,4.5,-1.15,3.65,-0.75,4.08,-0.95
constructionworker,5.8,1.16,5.61,1.38,6.0,0.83,6.35,-0.88,6.45,-0.6,6.4,-0.74
cook,4.07,1.25,4.25,1.26,3.88,1.23,3.95,-0.89,3.85,-1.14,3.9,-1.01
cookiemaker,2.81,1.15,3.05,1.2,2.57,1.06,2.2,-0.88,2.0,-0.65,2.1,-0.77
cosmetologist,2.03,1.31,2.39,1.54,1.67,0.9,1.45,-0.6,1.6,-0.94,1.52,-0.77
counsellingpsychologist,3.51,1.08,3.61,1.04,3.4,1.13,3.25,-1.33,3.7,-1.17,3.48,-1.25
courtreporter,3.35,1.29,3.66,1.16,3.02,1.35,2.75,-0.85,2.25,-0.85,2.5,-0.85
craftsman,5.57,1.1,5.55,1.13,5.6,1.08,5.5,-1.24,5.75,-1.16,5.62,-1.2
criminal,5.21,1.11,5.2,1.15,5.21,1.07,5.55,-0.94,5.8,-0.95,5.67,-0.94
cultmember,4.09,0.95,4.18,0.92,4.0,0.99,4.65,-0.99,4.5,-0.89,4.58,-0.94
customer,3.97,0.69,3.98,0.7,3.95,0.7,3.75,-0.72,4.05,-0.51,3.9,-0.61
customsinspector,4.71,1.04,4.73,1.02,4.69,1.07,4.75,-0.91,5.25,-1.21,5.0,-1.06
cyclist,4.79,0.9,4.86,1.0,4.71,0.77,4.85,-1.04,5.0,-1.03,4.92,-1.04
danceinstructor,2.6,1.3,2.64,1.48,2.57,1.09,2.05,-0.89,2.25,-0.91,2.15,-0.9
dancer,2.81,1.2,2.77,1.24,2.86,1.18,2.35,-0.88,2.55,-1.1,2.45,-0.99
dataprocessor,4.01,1.17,4.43,1.07,3.57,1.13,3.85,-0.59,3.85,-1.09,3.85,-0.84
deacon,5.83,1.3,5.55,1.42,6.12,1.11,6.1,-0.97,6.45,-0.69,6.28,-0.83
deity,4.72,1.18,4.64,1.01,4.81,1.35,NA,NA,NA,NA,NA,NA
dentalhygienist,2.94,1.4,3.27,1.28,2.6,1.45,3.35,-1.23,3.25,-1.33,3.3,-1.28
dentist,4.8,1.09,4.82,1.21,4.79,0.98,5.25,-1.12,5.3,-1.26,5.28,-1.19
deputy,5.3,1.06,5.39,1.02,5.21,1.12,6.25,-0.72,5.85,-1.09,6.05,-0.91
dermatologist,3.66,1.16,3.73,1.26,3.6,1.06,NA,NA,NA,NA,NA,NA
dictator,6.0,1.21,5.8,1.21,6.21,1.18,NA,NA,NA,NA,NA,NA
dietician,3.07,1.13,3.27,1.15,2.86,1.07,2.7,-0.92,2.65,-1.23,2.67,-1.07
diplomat,4.87,1.1,4.8,1.05,4.95,1.17,4.8,-0.95,5.3,-1.42,5.05,-1.19
districtattorney,4.81,0.96,4.86,1.03,4.76,0.91,4.8,-1.11,5.0,-1.17,4.9,-1.14
dj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doctor,4.5,1.0,4.59,1.13,4.4,0.86,4.65,-1.18,4.6,-1.47,4.62,-1.32
doggroomer,3.24,1.23,3.18,1.19,3.31,1.28,3.45,-0.83,3.4,-1.05,3.42,-0.94
dogowner,4.16,0.81,4.16,0.86,4.17,0.76,4.0,-1.08,4.55,-1.05,4.28,-1.06
draftingworker,4.95,1.16,4.8,1.09,5.12,1.21,6.0,-0.86,5.4,-1.05,5.7,-0.96
dressmaker,2.19,1.23,2.3,1.41,2.07,1.02,2.15,-0.99,1.7,-0.8,1.92,-0.9
drugaddict,4.58,0.98,4.59,1.09,4.57,0.86,4.5,-0.89,4.75,-1.12,4.62,-1.01
drugdealer,5.56,1.21,5.41,1.34,5.71,1.07,5.4,-1.57,5.95,-1.5,5.68,-1.54
drummer,5.34,1.18,5.32,1.38,5.36,0.96,5.5,-1.0,5.15,-1.35,5.33,-1.18
dude,6.37,1.2,6.23,1.22,6.52,1.17,6.3,-1.13,6.55,-0.89,6.42,-1.01
economist,4.93,0.93,5.0,0.99,4.86,0.87,4.35,-0.88,4.6,-1.14,4.47,-1.01
editor,4.43,0.99,4.66,0.91,4.19,1.02,4.15,-1.09,4.95,-1.1,4.55,-1.1
electrician,5.38,1.21,5.23,1.36,5.55,1.02,6.0,-0.92,6.0,-0.92,6.0,-0.92
elementaryschoolprincipal,4.31,1.31,4.43,1.25,4.19,1.38,4.4,-1.35,4.55,-1.15,4.47,-1.25
elementaryschoolteacher,2.69,1.23,2.95,1.33,2.4,1.06,2.3,-1.03,2.2,-1.11,2.25,-1.07
embezzler,4.93,1.17,4.84,1.18,5.02,1.16,5.0,-0.97,4.95,-1.28,4.97,-1.12
emergencymedicalcareworker,4.31,1.01,4.11,1.06,4.52,0.92,4.2,-0.7,4.35,-0.67,4.28,-0.69
engineer,5.14,1.1,5.0,1.14,5.29,1.04,5.35,-1.31,5.65,-0.99,5.5,-1.15
entertainer,4.13,0.68,4.32,0.67,3.93,0.64,4.05,-0.22,4.15,-0.49,4.1,-0.35
entrepreneur,4.6,0.97,4.89,1.02,4.31,0.84,NA,NA,NA,NA,NA,NA
etiquetteexpert,2.57,1.36,2.95,1.45,2.17,1.15,2.35,-0.99,2.1,-1.02,2.23,-1.0
executive,5.01,1.05,5.11,1.17,4.9,0.91,4.55,-0.83,5.45,-1.1,5.0,-0.97
exerciseinstructor,3.16,1.19,3.2,1.21,3.12,1.17,2.7,-0.92,2.65,-1.31,2.67,-1.11
exoticdancer,1.88,1.4,2.18,1.51,1.57,1.21,2.35,-1.46,1.5,-0.61,1.93,-1.03
expert,4.37,0.78,4.68,0.91,4.05,0.44,NA,NA,NA,NA,NA,NA
explorer,5.14,1.28,5.2,1.27,5.07,1.3,5.0,-1.12,5.7,-0.73,5.35,-0.93
extremist,4.77,1.19,4.73,1.13,4.81,1.27,NA,NA,NA,NA,NA,NA
fan,4.12,0.77,4.3,0.82,3.93,0.68,4.0,-0.65,4.4,-1.47,4.2,-1.06
farmer,5.48,1.07,5.43,1.13,5.52,1.02,6.2,-0.89,6.2,-0.89,6.2,-0.89
fashionmodel,2.1,1.3,2.48,1.47,1.71,0.97,1.9,-0.97,1.85,-0.99,1.88,-0.98
father,6.6,1.12,6.32,1.44,6.9,0.48,6.95,-0.22,7.0,0.0,6.97,-0.11
fbiagent,NA,NA,NA,NA,NA,NA,5.65,-0.93,5.95,-0.83,5.8,-0.88
federaljudge,5.1,1.12,5.09,1.16,5.12,1.09,5.25,-0.91,5.3,-0.98,5.28,-0.95
fellow,5.84,1.4,5.36,1.5,6.33,1.1,6.85,-0.49,6.55,-0.94,6.7,-0.71
feminist,1.92,1.28,2.09,1.46,1.74,1.04,NA,NA,NA,NA,NA,NA
figureskater,2.59,1.23,2.75,1.38,2.43,1.04,2.25,-1.02,2.15,-1.23,2.2,-1.12
fileclerk,3.31,1.31,3.75,1.26,2.86,1.22,2.65,-1.18,2.7,-1.03,2.67,-1.1
firefighter,5.76,1.09,5.66,1.27,5.86,0.87,6.0,-1.03,6.1,-1.02,6.05,-1.02
fisherman,5.92,1.02,5.84,1.18,6.0,0.83,6.05,-1.1,6.25,-0.72,6.15,-0.91
flightattendant,2.55,1.32,2.8,1.49,2.29,1.07,1.9,-0.79,2.15,-0.99,2.02,-0.89
florist,2.7,1.24,2.75,1.3,2.64,1.19,1.95,-0.76,2.15,-1.14,2.05,-0.95
fluteplayer,3.14,1.19,3.36,1.22,2.9,1.12,2.05,-1.0,2.45,-1.15,2.25,-1.07
foodcritic,4.43,1.01,4.34,0.99,4.52,1.04,NA,NA,NA,NA,NA,NA
footballcoach,6.07,1.25,5.82,1.45,6.33,0.95,6.75,-0.44,6.95,-0.22,6.85,-0.33
footballplayer,6.34,1.01,6.2,1.11,6.48,0.89,6.65,-0.49,6.7,-0.47,6.68,-0.48
foreman,5.99,0.96,5.73,0.97,6.26,0.89,5.65,-0.99,5.6,-1.1,5.62,-1.04
forensicpsychologist,4.44,1.06,4.3,1.02,4.6,1.08,4.1,-1.33,4.9,-1.29,4.5,-1.31
forestranger,5.41,1.12,5.34,1.22,5.48,1.02,5.55,-0.94,5.7,-0.92,5.62,-0.93
forestryengineer,5.52,1.04,5.43,1.02,5.62,1.06,2.05,-0.83,2.15,-1.09,2.1,-0.96
fortuneteller,2.2,1.23,2.41,1.4,1.98,0.98,2.4,-1.05,2.25,-0.97,2.33,-1.01
funeraldirector,5.14,1.05,5.02,1.07,5.26,1.04,5.55,-1.1,5.55,-1.43,5.55,-1.27
gambler,5.12,1.15,5.09,1.27,5.14,1.03,NA,NA,NA,NA,NA,NA
gameshowcontestant,3.88,0.91,4.09,0.86,3.67,0.93,NA,NA,NA,NA,NA,NA
gameshowhost,5.08,1.18,4.98,1.28,5.19,1.06,NA,NA,NA,NA,NA,NA
gamewarden,5.64,1.14,5.5,1.23,5.79,1.02,6.05,-0.76,6.2,-0.89,6.12,-0.82
garbagecollector,5.86,1.1,5.68,1.2,6.05,0.96,6.2,-0.89,6.2,-0.89,6.2,-0.89
general,5.69,1.23,5.68,1.27,5.69,1.2,6.15,-1.14,6.5,-0.83,6.33,-0.98
geneticist,4.48,1.06,4.55,0.98,4.4,1.15,NA,NA,NA,NA,NA,NA
geologist,4.78,1.14,4.84,1.29,4.71,0.97,5.35,-0.99,4.75,-0.72,5.05,-0.85
god,5.4,1.28,5.27,1.17,5.52,1.38,NA,NA,NA,NA,NA,NA
golfer,5.2,1.04,5.05,1.06,5.36,1.01,5.7,-0.92,4.6,-1.35,5.15,-1.14
governmentofficial,4.88,0.98,4.77,0.86,5.0,1.08,5.25,-0.97,5.3,-0.98,5.28,-0.97
governor,5.22,0.96,5.2,1.02,5.24,0.91,5.35,-0.99,5.7,-1.13,5.53,-1.06
graphicdesigner,4.28,1.2,4.7,1.02,3.83,1.23,4.2,-0.52,4.35,-0.49,4.28,-0.51
groom,6.48,1.17,6.34,1.14,6.62,1.19,6.9,-0.31,6.7,-1.34,6.8,-0.83
groundskeeper,5.49,1.1,5.41,1.19,5.57,1.02,5.1,-1.21,5.85,-0.93,5.47,-1.07
guard,5.36,1.15,5.23,1.29,5.5,0.97,6.0,-0.92,6.15,-0.93,6.08,-0.93
guidancecounselor,3.63,1.05,3.77,0.94,3.48,1.15,3.15,-0.99,3.3,-0.8,3.22,-0.9
guitarplayer,5.01,0.98,5.14,1.0,4.88,0.94,5.4,-1.23,5.4,-1.1,5.4,-1.17
gunman,6.08,1.11,5.86,1.19,6.31,0.98,6.3,-0.73,6.4,-0.6,6.35,-0.67
guy,6.58,1.05,6.41,1.09,6.76,0.98,6.85,-0.37,6.55,-0.89,6.7,-0.63
gymnast,2.74,1.3,2.86,1.36,2.62,1.25,2.35,-1.09,2.65,-1.09,2.5,-1.09
gynecologist,3.6,1.5,3.57,1.5,3.64,1.51,3.95,-0.94,4.65,-1.5,4.3,-1.22
haircutter,3.15,1.29,3.18,1.39,3.12,1.19,2.75,-1.12,2.85,-1.42,2.8,-1.27
hairdresser,2.23,1.19,2.43,1.34,2.02,1.0,2.1,-0.97,1.65,-0.81,1.88,-0.89
heavyequipmentoperator,5.97,1.24,5.59,1.45,6.36,0.82,6.5,-0.76,6.6,-0.68,6.55,-0.72
heir,4.69,1.39,4.73,1.19,4.64,1.59,NA,NA,NA,NA,NA,NA
heiress,1.52,1.12,1.86,1.39,1.17,0.58,NA,NA,NA,NA,NA,NA
highschoolprincipal,4.74,1.02,4.73,1.13,4.76,0.91,5.15,-1.14,5.15,-1.31,5.15,-1.23
highschoolteacher,3.69,0.72,3.61,0.87,3.76,0.53,3.2,-1.01,3.0,-0.97,3.1,-0.99
highwayworker,5.59,1.12,5.48,1.21,5.71,1.02,5.9,-0.79,5.6,-1.05,5.75,-0.92
historian,4.53,1.0,4.64,0.99,4.43,1.02,4.3,-1.69,4.45,-1.1,4.38,-1.4
historyprofessor,4.8,1.08,4.77,1.1,4.83,1.08,5.4,-1.14,5.6,-0.99,5.5,-1.06
hitchhiker,5.09,1.12,5.05,1.12,5.14,1.14,5.7,-1.13,5.55,-1.19,5.62,-1.16
homelessperson,4.93,1.04,5.02,1.07,4.83,1.01,4.75,-1.02,5.25,-1.29,5.0,-1.16
homicidedetective,5.3,1.16,5.2,1.19,5.4,1.13,5.45,-1.05,5.9,-0.79,5.68,-0.92
horsetrainer,3.91,1.21,3.77,1.22,4.05,1.21,3.85,-1.35,4.0,-1.52,3.92,-1.44
hospitalorderly,4.55,1.39,4.09,1.31,5.02,1.32,4.25,-1.21,4.5,-1.54,4.38,-1.38
host,4.48,1.45,4.32,1.36,4.64,1.54,NA,NA,NA,NA,NA,NA
hostess,1.74,1.23,2.16,1.45,1.31,0.75,NA,NA,NA,NA,NA,NA
hotelguest,3.95,0.61,3.98,0.7,3.93,0.51,3.95,-0.6,4.2,-0.41,4.08,-0.51
housekeeper,2.17,1.28,2.57,1.45,1.76,0.91,1.95,-1.1,2.2,-0.89,2.08,-1.0
housewife,1.43,1.0,1.61,1.2,1.24,0.69,NA,NA,NA,NA,NA,NA
huladancer,1.87,1.21,2.3,1.42,1.43,0.7,1.45,-0.69,1.7,-0.86,1.57,-0.77
humanitarian,3.86,1.02,3.98,0.93,3.74,1.11,3.7,-0.92,3.65,-0.75,3.67,-0.83
humanitiesprofessor,4.14,1.19,4.11,1.2,4.17,1.19,4.4,-1.31,4.2,-1.44,4.3,-1.38
hunter,5.73,1.27,5.48,1.47,6.0,0.96,6.35,-0.67,6.05,-1.0,6.2,-0.83
incometaxpreparer,4.36,1.08,4.59,1.19,4.12,0.92,5.0,-0.97,4.4,-1.19,4.7,-1.08
informant,4.92,1.05,4.89,1.06,4.95,1.06,4.25,-0.97,4.75,-1.12,4.5,-1.04
inmate,5.36,1.06,5.34,1.16,5.38,0.96,5.75,-0.79,5.55,-1.36,5.65,-1.08
innkeeper,4.14,1.05,4.27,1.11,4.0,0.99,4.0,-1.49,4.5,-1.4,4.25,-1.44
insuranceagent,4.24,0.94,4.27,1.06,4.21,0.81,4.4,-0.82,4.5,-1.0,4.45,-0.91
interiordecorator,2.65,1.36,3.0,1.57,2.29,0.99,2.3,-1.03,2.1,-0.72,2.2,-0.88
internetcelebrity,3.9,0.93,4.09,0.91,3.69,0.92,NA,NA,NA,NA,NA,NA
inventor,4.81,1.02,4.98,0.95,4.64,1.08,4.85,-0.88,5.1,-1.12,4.97,-1.0
jailor,5.69,1.1,5.68,1.12,5.69,1.09,5.8,-1.01,5.95,-0.83,5.88,-0.92
janitor,5.4,1.11,5.25,1.18,5.55,1.02,5.45,-1.15,5.8,-1.24,5.62,-1.19
journalist,4.15,0.96,4.23,0.83,4.07,1.09,4.15,-1.27,3.9,-1.21,4.03,-1.24
judge,4.91,0.99,4.98,1.05,4.83,0.93,4.75,-1.02,4.65,-1.35,4.7,-1.19
juggler,4.77,1.06,4.89,1.17,4.64,0.93,5.2,-1.28,5.3,-0.86,5.25,-1.07
jurist,4.07,0.63,4.11,0.75,4.02,0.47,4.2,-0.83,4.15,-0.99,4.18,-0.91
karaokesinger,3.73,1.05,3.68,1.14,3.79,0.95,3.6,-1.19,3.9,-0.64,3.75,-0.92
kid,4.06,0.76,4.2,0.67,3.9,0.82,4.05,-0.22,4.25,-0.64,4.15,-0.43
killer,5.44,1.17,5.34,1.27,5.55,1.06,5.55,-1.15,5.85,-0.99,5.7,-1.07
kindergartenteacher,2.28,1.28,2.55,1.49,2.0,0.96,1.95,-0.69,2.4,-0.82,2.17,-0.75
knitter,2.19,1.23,2.25,1.33,2.12,1.13,1.85,-0.67,1.8,-0.83,1.83,-0.75
laborofficial,5.15,1.05,5.11,1.13,5.19,0.97,5.15,-1.04,5.3,-1.03,5.22,-1.04
labtechnician,4.08,1.0,4.2,1.02,3.95,0.96,4.68,-0.82,4.35,-0.88,4.51,-0.85
landscaper,5.23,1.23,5.14,1.41,5.33,1.03,5.1,-0.85,4.65,-1.42,4.88,-1.14
lawclerk,3.97,1.09,4.09,1.07,3.83,1.1,3.7,-1.38,4.45,-1.23,4.08,-1.3
lawprofessor,4.92,0.92,4.93,0.97,4.9,0.88,4.5,-0.83,4.85,-1.42,4.67,-1.12
lawyer,4.66,0.97,4.86,1.05,4.45,0.83,4.2,-0.62,4.65,-0.93,4.43,-0.78
leader,4.63,0.84,4.89,0.89,4.36,0.69,4.3,-0.86,5.05,-1.23,4.67,-1.04
lender,4.72,0.99,4.64,0.97,4.81,1.02,4.6,-0.94,4.95,-0.94,4.78,-0.94
librarian,2.59,1.29,2.61,1.26,2.57,1.33,2.45,-1.0,2.2,-1.06,2.33,-1.03
lieutenant,5.52,1.04,5.43,1.09,5.62,0.99,5.45,-0.89,5.15,-1.04,5.3,-0.97
limodriver,5.63,0.95,5.55,0.98,5.71,0.92,5.7,-0.86,6.15,-0.88,5.93,-0.87
linguist,3.73,0.91,3.95,0.78,3.5,0.99,NA,NA,NA,NA,NA,NA
logger,5.99,1.12,5.77,1.22,6.21,0.98,5.7,-0.92,6.15,-1.09,5.93,-1.01
magician,5.33,1.07,5.2,1.13,5.45,0.99,5.65,-1.09,5.85,-0.93,5.75,-1.01
magiciansassistant,2.5,1.41,2.84,1.51,2.14,1.22,1.85,-0.88,2.0,-1.26,1.93,-1.07
maid,1.73,1.08,1.98,1.27,1.48,0.77,1.4,-0.68,1.3,-0.57,1.35,-0.62
mailman,5.62,1.24,5.45,1.35,5.79,1.09,5.7,-1.08,5.1,-1.37,5.4,-1.23
makeupartist,2.36,1.13,2.32,1.18,2.4,1.08,NA,NA,NA,NA,NA,NA
manager,4.59,0.94,4.68,1.01,4.5,0.86,4.3,-0.8,5.15,-0.99,4.72,-0.9
manicurist,2.05,1.28,2.16,1.45,1.93,1.09,1.8,-0.89,1.3,-0.57,1.55,-0.73
marketer,4.34,0.9,4.43,0.87,4.24,0.93,NA,NA,NA,NA,NA,NA
massagetherapist,2.97,1.21,3.0,1.26,2.93,1.18,3.2,-1.15,2.65,-0.88,2.92,-1.01
mathematician,4.97,1.03,5.05,1.18,4.88,0.86,4.75,-1.02,4.9,-1.37,4.83,-1.2
mayor,5.03,0.98,5.05,1.01,5.02,0.95,5.0,-1.12,5.6,-1.27,5.3,-1.2
meatpacker,5.6,1.3,5.41,1.39,5.81,1.17,5.85,-1.14,5.4,-1.05,5.62,-1.09
meteorologist,4.76,1.03,4.61,0.95,4.9,1.1,5.35,-0.88,4.95,-1.15,5.15,-1.01
midwife,1.72,1.19,2.07,1.47,1.36,0.66,NA,NA,NA,NA,NA,NA
millionaire,4.91,1.01,4.95,1.03,4.86,1.0,4.6,-1.76,5.85,-0.93,5.22,-1.34
miner,5.85,1.16,5.61,1.33,6.1,0.91,6.1,-0.79,6.1,-1.02,6.1,-0.91
minister,5.63,1.14,5.39,1.15,5.88,1.09,NA,NA,NA,NA,NA,NA
monk,6.36,0.97,6.02,1.15,6.71,0.55,NA,NA,NA,NA,NA,NA
motelmanager,4.48,1.08,4.43,1.17,4.52,0.99,4.55,-0.69,4.7,-1.13,4.62,-0.91
mother,1.34,0.95,1.52,1.19,1.14,0.57,1.05,-0.22,1.0,0.0,1.02,-0.11
motivationalspeaker,4.57,1.08,4.84,0.96,4.29,1.13,NA,NA,NA,NA,NA,NA
mountainclimber,5.34,1.06,5.32,1.2,5.36,0.91,5.25,-0.91,5.7,-0.92,5.47,-0.92
mover,5.38,1.28,5.41,1.24,5.36,1.32,NA,NA,NA,NA,NA,NA
moviedirector,4.99,1.11,4.98,1.19,5.0,1.04,5.1,-1.12,5.1,-1.21,5.1,-1.17
moviestar,4.0,0.57,4.11,0.62,3.88,0.5,3.75,-0.79,3.89,-0.81,3.82,-0.8
murderer,5.57,1.12,5.34,1.18,5.81,1.02,5.15,-0.99,5.45,-1.15,5.3,-1.07
nanny,1.78,1.12,2.09,1.36,1.45,0.67,1.55,-0.6,1.5,-0.61,1.52,-0.6
neighbour,4.12,0.64,4.3,0.73,3.93,0.46,3.95,-0.22,3.95,-0.76,3.95,-0.49
neurologist,4.69,1.02,4.7,1.15,4.67,0.87,4.85,-0.81,5.0,-1.21,4.92,-1.01
neurosurgeon,4.87,1.1,4.91,1.22,4.83,0.99,4.4,-1.27,5.35,-1.18,4.88,-1.23
newscaster,4.49,0.98,4.59,0.97,4.38,0.99,3.7,-0.73,3.9,-0.45,3.8,-0.59
notarypublic,3.74,1.06,3.86,1.05,3.62,1.08,3.5,-0.76,3.42,-1.02,3.46,-0.89
novelist,4.07,0.85,4.23,0.71,3.9,0.96,3.75,-1.07,3.65,-0.75,3.7,-0.91
nun,1.35,0.89,1.52,1.09,1.17,0.58,1.05,-0.22,1.1,-0.31,1.08,-0.27
nurse,2.23,1.16,2.39,1.35,2.07,0.92,2.3,-0.92,2.35,-0.99,2.33,-0.96
nursinghomeworker,2.7,1.29,3.07,1.4,2.31,1.05,2.45,-1.19,2.55,-1.0,2.5,-1.09
nutritionist,3.23,1.2,3.45,1.21,3.0,1.17,2.55,-0.94,3.0,-1.17,2.77,-1.05
occupationaltherapist,3.45,1.05,3.66,1.12,3.24,0.93,3.55,-1.15,3.45,-1.05,3.5,-1.1
oceanographer,4.59,0.96,4.57,1.04,4.62,0.88,4.1,-1.33,3.9,-1.12,4.0,-1.23
orchestraconductor,5.28,1.19,5.25,1.16,5.31,1.24,5.2,-1.06,5.6,-0.82,5.4,-0.94
orthodontist,4.77,1.0,4.7,1.09,4.83,0.91,5.4,-0.94,5.65,-1.04,5.53,-0.99
painter,4.65,1.04,4.52,1.13,4.79,0.92,5.05,-1.19,5.25,-1.12,5.15,-1.16
palmreader,2.45,1.33,2.57,1.44,2.33,1.22,2.1,-0.97,2.2,-1.06,2.15,-1.02
parachutist,4.97,1.19,4.93,1.32,5.0,1.06,5.4,-0.94,5.05,-1.23,5.22,-1.08
paralegal,3.48,1.52,3.89,1.65,3.05,1.25,3.75,-1.21,3.75,-1.12,3.75,-1.17
parent,3.9,0.63,4.02,0.4,3.76,0.79,3.9,-0.45,3.9,-0.55,3.9,-0.5
parkmanager,4.94,1.04,4.93,1.13,4.95,0.96,5.6,-0.99,5.25,-1.21,5.42,-1.1
partyplanner,2.81,1.35,3.05,1.38,2.57,1.29,2.55,-1.1,3.05,-1.23,2.8,-1.17
pastrychef,3.67,1.21,3.75,1.28,3.6,1.15,4.05,-1.15,4.35,-1.27,4.2,-1.21
pathologist,4.59,0.95,4.57,1.0,4.62,0.91,NA,NA,NA,NA,NA,NA
patient,3.88,0.6,3.84,0.68,3.93,0.51,4.0,-0.56,4.15,-0.88,4.08,-0.72
pawnbroker,5.37,1.25,5.16,1.36,5.6,1.08,5.8,-1.11,5.9,-1.02,5.85,-1.06
pediatrician,3.95,1.05,4.07,1.13,3.83,0.96,3.85,-1.18,4.1,-1.45,3.97,-1.31
person,4.06,0.67,4.14,0.67,3.98,0.68,4.0,0.0,4.1,-0.45,4.05,-0.23
personaltrainer,4.41,1.01,4.55,1.09,4.26,0.91,4.7,-1.17,4.8,-1.36,4.75,-1.27
pharmacist,4.31,1.01,4.41,1.0,4.21,1.02,4.45,-1.05,4.65,-1.27,4.55,-1.16
philanthropist,4.58,1.01,4.52,0.85,4.64,1.16,4.5,-0.83,4.1,-1.07,4.3,-0.95
phlebotomist,4.15,1.17,4.25,0.94,4.05,1.38,4.3,-0.98,3.9,-0.55,4.1,-0.77
photographer,4.09,0.59,4.25,0.69,3.93,0.41,4.0,-0.79,3.8,-0.52,3.9,-0.66
physicaltherapist,3.67,1.08,3.8,1.02,3.55,1.13,3.7,-0.8,4.05,-1.23,3.88,-1.02
physician,4.53,0.82,4.66,0.91,4.4,0.7,4.35,-0.67,5.2,-1.01,4.78,-0.84
physiciansassistant,3.19,1.28,3.25,1.31,3.12,1.25,3.0,-0.97,3.0,-0.92,3.0,-0.95
physicist,4.97,1.15,5.02,1.11,4.9,1.21,4.9,-0.97,4.6,-1.1,4.75,-1.04
pianoplayer,4.03,0.82,4.07,0.76,4.0,0.88,3.15,-1.27,3.5,-1.32,3.33,-1.29
pilot,5.31,1.0,5.2,1.07,5.43,0.91,5.9,-1.07,5.5,-1.1,5.7,-1.08
plumber,5.81,1.21,5.59,1.42,6.05,0.91,6.05,-0.76,6.2,-0.77,6.12,-0.77
podiatrist,4.52,0.97,4.36,1.08,4.69,0.81,4.7,-0.8,4.1,-0.55,4.4,-0.68
poet,4.12,1.0,4.23,0.99,4.0,1.01,3.9,-0.79,3.9,-0.85,3.9,-0.82
policedispatcher,3.69,1.48,3.89,1.48,3.48,1.47,3.75,-1.29,3.5,-1.36,3.62,-1.33
policeofficer,5.13,1.11,5.05,1.22,5.21,1.0,5.55,-1.0,5.45,-1.05,5.5,-1.02
policesergeant,5.66,1.0,5.64,1.1,5.69,0.9,5.75,-1.02,5.9,-1.07,5.83,-1.04
politicalactivist,4.07,0.88,4.16,1.01,3.98,0.72,4.74,-0.93,4.15,-0.88,4.45,-0.91
politician,4.93,0.94,4.86,0.95,5.0,0.94,5.1,-1.07,5.8,-0.93,5.45,-1.0
poolplayer,5.21,1.19,5.07,1.3,5.36,1.06,5.25,-0.72,5.5,-1.15,5.38,-0.93
postalworker,4.59,1.02,4.66,1.1,4.52,0.94,4.9,-1.12,4.75,-0.97,4.83,-1.04
president,5.45,1.19,5.3,1.17,5.62,1.21,NA,NA,NA,NA,NA,NA
